filename,dominant_material,pct_acm,pct_brick,pct_dec_stone,pct_fibercement,pct_metal,pct_stucco,pct_vinyl,wwr
CMX_2006_10_frank.jpg,metal,0,0,0,0,100,0,0,0.162
CMX_2012_frankford.jpg,metal,0,0,0,0,100,0,0,0.159
CMX_2026_frank.jpg,acm,63.8,36.2,0,0,0,0,0,0.314
CMX_2028_frank.jpg,brick,0,73.4,26.6,0,0,0,0,0.27
CMX_2030_frank.jpg,brick,0,77.7,22.3,0,0,0,0,0.147
CMX_2036_frank.jpg,acm,72.6,15.8,0,0,0,11.6,0,0.118
CMX_204_e_girard.jpg,brick,0,100,0,0,0,0,0,0.132
CMX_2040_frank.jpg,brick,0,100,0,0,0,0,0,0.1
CMX_206_e_girard.jpg,stucco,0,0,0,0,0,100,0,
CMX_208_e_girard.jpg,brick,0,100,0,0,0,0,0,0.193
CMX_210_e_girard.jpg,stucco,0,0,0,0,0,100,0,0.086
CMX_2161_e_norris.jpg,brick,48.8,51.2,0,0,0,0,0,0.197
CMX_2209_blair.png,brick,0,100,0,0,0,0,0,0.159
CMX_2216_frank_update.jpg,stucco,0,0,0,0,0,100,0,0.132
CMX_2220_22_e_sus.jpg,brick,0,100,0,0,0,0,0,0.217
CMX_2220_frank.jpg,brick,0,100,0,0,0,0,0,0.191
CMX_2221_trent.png,acm,46.3,32.8,0,0,0,20.8,0,0.226
CMX_2222_frank.jpg,brick,0,100,0,0,0,0,0,0.286
CMX_2223_trent.png,acm,61.9,0,0,0,0,38.1,0,0.189
CMX_2224_frank.jpg,stucco,0,0,0,0,0,100,0,0.096
CMX_2225_trent.png,acm,68.8,0,0,0,0,31.2,0,0.17
CMX_2226_frank.jpg,brick,0,100,0,0,0,0,0,0.165
CMX_2227_blair.png,stucco,0,0,0,0,0,100,0,0.103
CMX_2227_trent.png,brick,35.1,46.7,0,0,0,18.2,0,0.199
CMX_2228_frank.jpg,acm,100,0,0,0,0,0,0,0.337
CMX_2229_trent_update.png,brick,24.4,75.6,0,0,0,0,0,0.173
CMX_2231_trent_update.jpg,brick,22,68.3,0,0,0,9.8,0,0.189
CMX_2232_frank.jpg,brick,0,56.1,0,43.9,0,0,0,0.338
CMX_2235_blair_update.png,brick,25.6,74.4,0,0,0,0,0,0.134
CMX_2236_38_frank.jpg,stucco,0,0,0,0,0,100,0,0.154
CMX_2237_blair.png,brick,0,100,0,0,0,0,0,0.146
CMX_2323_frank.jpg,brick,0,52.8,0,0,0,47.2,0,0.154
CMX_2325_frank.jpg,brick,44.4,55.6,0,0,0,0,0,0.146
CMX_2327_frank_update.jpg,brick,0,100,0,0,0,0,0,0.478
CMX_2370_e_norris.jpg,brick,0,62,0,19,19,0,0,0.112
CMX_339_belgrade.jpg,brick,0,100,0,0,0,0,0,0.067
CMX_401_e_gir.jpg,vinyl,0,0,0,0,0,44.6,55.4,0.19
CMX_403_e_gir.jpg,stucco,0,0,0,0,0,100,0,0.171
CMX_405_e_gir.jpg,stucco,0,0,0,0,0,100,0,0.187
CMX_407_e_gir.jpg,brick,0,100,0,0,0,0,0,0.112
CMX_409_e_gir.jpg,brick,0,100,0,0,0,0,0,0.106
CMX_411_e_gir.jpg,brick,0,100,0,0,0,0,0,0.116
CMX_413_e_gir.jpg,brick,0,100,0,0,0,0,0,0.208
CMX_415_e_gir.jpg,brick,0,60.1,0,0,39.9,0,0,0.079
CMX_419_e_gir .jpg,brick,0,100,0,0,0,0,0,
CMX_429_e_gir.jpg,brick,0,100,0,0,0,0,0,0.098
CMX_431_e_gir.jpg,stucco,0,37.6,0,0,0,62.4,0,0.072
CMX_437_e_gir.jpg,brick,0,100,0,0,0,0,0,0.155
CMX_439_e_girard.jpg,brick,0,100,0,0,0,0,0,0.09
CMX_441_e_girard.jpg,stucco,0,0,0,0,0,100,0,0.218
CMX_443_e_gir.jpg,vinyl,0,38.7,0,0,0,0,61.3,0.197
CMX_447-49_e_gir.jpg,brick,0,61.7,0,0,0,0,38.3,0.115
CMX_451_e_gir.jpg,brick,0,100,0,0,0,0,0,0.123
CMX_455_e_gir.jpg,brick,0,53.2,0,0,0,0,46.8,0.169
